"","LAD17CD","sample"
"1","E06000001",175
"2","E06000002",210
"3","E06000003",251
"4","E06000004",377
"5","E06000005",173
"6","E06000006",122
"7","E06000007",238
"8","E06000008",150
"9","E06000009",117
"10","E06000010",255
"11","E06000011",323
"12","E06000012",196
"13","E06000013",259
"14","E06000014",233
"15","E06000015",223
"16","E06000016",368
"17","E06000017",76
"18","E06000018",274
"19","E06000019",137
"20","E06000020",153
"21","E06000021",205
"22","E06000022",66
"23","E06000023",299
"24","E06000024",63
"25","E06000025",180
"26","E06000026",210
"27","E06000027",63
"28","E06000028",220
"29","E06000029",200
"30","E06000030",267
"31","E06000031",200
"32","E06000032",296
"33","E06000033",123
"34","E06000034",117
"35","E06000035",142
"36","E06000036",66
"37","E06000037",23
"38","E06000038",125
"39","E06000039",68
"40","E06000040",23
"41","E06000041",48
"42","E06000042",66
"43","E06000043",140
"44","E06000044",94
"45","E06000045",117
"46","E06000046",158
"47","E06000047",918
"48","E06000049",338
"49","E06000050",281
"50","E06000051",239
"51","E06000052",371
"52","E06000054",697
"53","E06000055",274
"54","E06000056",411
"55","E06000057",235
"56","E07000004",129
"57","E07000005",74
"58","E07000006",22
"59","E07000007",158
"60","E07000008",167
"61","E07000009",104
"62","E07000010",73
"63","E07000011",186
"64","E07000012",200
"65","E07000026",208
"66","E07000027",102
"67","E07000028",250
"68","E07000029",120
"69","E07000030",129
"70","E07000031",197
"71","E07000032",170
"72","E07000033",138
"73","E07000034",121
"74","E07000035",155
"75","E07000036",103
"76","E07000037",31
"77","E07000038",46
"78","E07000039",7
"79","E07000040",29
"80","E07000041",40
"81","E07000043",87
"82","E07000044",89
"83","E07000045",24
"84","E07000046",40
"85","E07000047",26
"86","E07000048",77
"87","E07000049",109
"88","E07000050",63
"89","E07000051",20
"90","E07000052",170
"91","E07000053",86
"92","E07000061",21
"93","E07000062",57
"94","E07000063",118
"95","E07000064",9
"96","E07000065",145
"97","E07000066",83
"98","E07000067",67
"99","E07000068",9
"100","E07000069",48
"101","E07000070",118
"102","E07000071",133
"103","E07000072",80
"104","E07000073",20
"105","E07000074",19
"106","E07000075",32
"107","E07000076",99
"108","E07000077",57
"109","E07000078",191
"110","E07000079",162
"111","E07000080",88
"112","E07000081",189
"113","E07000082",128
"114","E07000083",165
"115","E07000084",105
"116","E07000085",46
"117","E07000086",22
"118","E07000087",106
"119","E07000088",31
"120","E07000089",43
"121","E07000090",30
"122","E07000091",150
"123","E07000092",52
"124","E07000093",5
"125","E07000094",48
"126","E07000095",42
