"","PFA17NM","n","Individuals_2011.16over","Households_2011","violence","robbery","robbery.noattempt","theft.from.person","theft.from.person.noattempt","vehicle.theft","bicycle.theft","burglary","burglary.notaken","damage.property","damage.property.noarson","damage.vehicle","violence.rp","robbery.rp","robbery.noattempt.rp","theft.from.person.rp","theft.from.person.noattempt.rp","vehicle.theft.rp","bicycle.theft.rp","burglary.rp","burglary.notaken.rp","damage.property.rp","damage.property.noarson.rp","damage.vehicle.rp","violence.prc","robbery.prc","theft.from.person.prc","vehicle.theft.prc","bicycle.theft.prc","burglary.prc","damage.property.prc","damage.vehicle.prc","violence.combined.prc","theft.combined.prc","damage.combined.prc","violence.combined","theft.combined","damage.combined","violence.combined.rp","theft.combined.rp","damage.combined.rp","violence.ratio","theft.ratio","damage.ratio"
"1","Avon and Somerset",1013,1310225,679016,48458.2932616758,7605.13431891268,0,36556.3960483845,15804.7155257555,22796.6205580835,15135.2735112059,16482.8476047215,15874.3111470419,11898.5913792004,11363.9981814394,36234.1604738726,24509.045508531,2040.95767017507,0,6543.51076028257,6543.51076028257,12383.99514608,5951.5101732648,10903.042226982,9608.08724079538,6038.84326625926,5504.25006849824,13432.0697263922,16294,1126,1561,10305,3766,5294,3550,7998,17420,20926,11548,56063.4275805885,90971.1377223954,48132.7518530731,26550.0031787061,35782.0583066094,19470.9129926514,0.656120448752767,0.584818229870658,0.593089805514429
"2","Bedfordshire",981,486918,242504,34355.7921155366,7266.4754575607,232.4501508565,4328.43334415568,2937.61568229889,18270.8928778856,2768.08147892125,10123.4470740202,8884.29970469163,9147.66516811503,9162.73068297064,14854.6187237787,8976.63814237388,232.4501508565,232.4501508565,2016.9805840705,1829.61272048436,8629.10891584704,990.004484017719,5458.45871527069,4729.20317133722,3237.97460130973,3237.97460130973,3167.51881262787,6206,770,666,4790,924,3150,1659,2833,6976,9530,4492,41622.2675730973,35490.8547749827,24002.2838918937,9209.08829323038,17094.5526992059,6405.49341393761,0.757512554758332,0.557487532296921,0.701273065120312
"3","Cambridgeshire",930,652964,325264,23691.02617672,8601.17545919629,654.498481730423,9781.60932208083,3707.07903785755,10614.0145179102,12863.8414885888,11080.0066042431,8659.00415275107,9590.13594064084,10229.5391174801,12937.1733625448,8298.3985611556,2310.02282970603,654.498481730423,2678.82685872683,1865.92511639029,5850.15600883288,6077.07170750514,6555.78518137567,5458.7238497392,5390.28628642367,5390.28628642367,4047.83903896873,6167,383,989,4790,3694,2773,2011,3177,6550,12246,5188,32292.2016359163,44339.4719328229,22527.3093031856,10608.4213908616,21161.8397564405,9438.1253253924,0.617433994999703,0.578683145744593,0.549685432343451
"4","Cheshire",979,840143,439335,29664.4142098871,0,0,7947.74515711889,7475.00873561624,15432.1275799963,9127.18092438481,5257.96233554265,2268.40389749671,10710.7304683085,10710.7304683085,15554.3018299375,13150.7955029592,0,0,2411.08103797194,2411.08103797194,5951.32475939513,4598.93893374439,2730.26501389832,1772.58327529952,7180.24470596042,7180.24470596042,5232.35386163704,9104,263,671,5413,1638,3148,3118,4363,9367,10870,7481,29664.4142098871,37765.0159970426,26265.032298246,13150.7955029592,15691.6097450098,12412.5985675975,0.712276302820784,0.692726888868547,0.60269410625498
"5","Cleveland",1013,450151,236401,19151.6374645493,750.045680750413,265.423910619884,2462.90033201045,1918.98381029074,9484.90093280451,7806.46282636412,4064.12309082671,3829.17988594812,8809.6698983379,9023.85568165994,13826.6482445185,6982.64247317176,750.045680750413,265.423910619884,1918.98381029074,1918.98381029074,4518.6367209805,4346.48421538855,3650.07260975328,3625.70511810273,3176.70721987131,3390.89300319336,5396.98561489147,6307,240,385,3506,1196,2439,3404,3578,6547,7526,6982,19901.6831452997,23818.3871820058,22636.3181428564,7732.68815392218,14434.1773564131,8573.69283476277,0.846665463507568,0.521401380498918,0.814351544260005
"6","Cumbria",1006,416359,222042,11980.6364786885,1605.78985966612,647.574448972062,2060.46013487752,2060.46013487752,4090.51464660071,2256.11421525149,4241.91719193617,2794.02655734668,6997.65272311501,6711.90672457603,9390.61351687588,4025.67654841746,647.574448972062,647.574448972062,1447.17413955959,1447.17413955959,1874.86824064338,1433.58577393483,2295.74874240266,2040.84409050933,3337.8080540705,3052.06205553151,4877.16459403123,4238,47,159,1544,554,666,1466,2881,4285,2923,4347,13586.4263383546,12649.0061886659,16388.2662399909,4673.25099738952,7051.37689654046,8214.97264810173,0.91692057678768,0.414528969715699,0.529155748437517
"7","Derbyshire",994,830976,434908,11886.9630648144,1338.37166293228,1338.37166293228,10974.3407530525,8560.03135450684,13961.8247493566,4824.69185250563,4780.9412755506,4348.23203954867,3054.28025229815,2591.21811428056,15858.7925537372,6362.23875191089,1338.37166293228,1338.37166293228,5896.76118171741,4335.15335879307,6629.49031047991,2651.01856516575,3444.25453225739,3011.54529625546,1803.59545848399,1340.53332046641,9579.43294539654,10191,503,774,5608,1533,3262,2647,4862,10694,11177,7509,13225.3347277467,34541.7986304653,18913.0728060353,7700.61041484318,18621.5245896205,11383.0284038805,1.38872107844684,0.60021938301604,0.659666279795994
"8","Devon & Cornwall",979,1388206,722339,105463.02691481,10061.519224587,3593.61277347239,6556.04496379588,1539.21012672945,25027.4526314791,6858.2720236723,8782.82353121927,6475.82730716303,30020.7893234147,27496.021716913,45228.1828477224,45259.283253573,4336.4937956177,3593.61277347239,831.761607727944,831.761607727944,6071.22400405201,1260.5453955611,3505.43700145271,2732.44361016547,22951.6110162367,18902.6856654912,18522.4639631399,16432,464,1160,7177,1607,4224,2958,8518,16896,14168,11476,115524.546139397,47224.5931501665,75248.9721711371,49595.7770491907,11668.9680087938,41474.0749793766,0.340674166335614,1.21416049725417,0.276702976635562
"9","Dorset",945,622806,326117,19592.9219629351,0,0,8707.87576837863,6760.67546907722,9966.37438530281,6600.90408969021,6266.2257274287,5023.17973179139,6526.93302180229,4644.0574216023,11746.1620007239,9955.46911347687,0,0,640.261805922132,640.261805922132,5702.01673997471,3386.12126539028,3898.65666477322,3258.62361949602,1575.88722418252,1575.88722418252,3220.06463146194,6759,217,884,4601,2145,1899,1440,3585,6976,9529,5025,19592.9219629351,31541.3799708003,18273.0950225262,9955.46911347687,13627.0564760603,4795.95185564447,0.70072036992777,0.699270603063861,1.04775864129786
"10","Durham",1091,510615,270473,20860.0416839626,457.561331291147,0,5831.34559290116,3088.57934925051,10540.9047561109,4670.23268349424,3863.98886833818,2961.79359496911,12116.0436443292,12116.0436443292,15791.0248460549,7741.95474902921,228.780665645574,0,0,0,3095.12250240891,740.496032071174,2513.86245550302,1838.25174978303,4969.36260965474,4969.36260965474,6278.36107285503,4073,85,202,3626,741,1654,2450,3211,4158,6223,5661,21317.6030152538,24906.4719008445,27907.068490384,7970.73541467479,6349.48098998311,11247.7236825098,0.521658264097536,0.980080105731059,0.50330183775788
