"","CSP17NM","violence_syn","property_syn","damage_syn","pop","violence_syn_pol","property_syn_pol","damage_syn_pol","HHproperty_syn","HHdamage_syn","HHpop","HHproperty_syn_pol","HHdamage_syn_pol","all_syn_pol","all_syn","all_ME","violence_ME","property_ME","damage_ME"
"1","Adur",0.0621097708476349,0.0808324368438624,0.0845049523314909,61182,0.0133209113791638,0.0293059316689543,0.0142820046741106,2179,2278,26957,790,385,0.0325259063123141,0.134957994181295,0.24100762988979,0.214473684210526,0.362551629187701,0.16900790166813
"2","Allerdale",0.0615938271348862,0.0820876136497816,0.0846853229424962,96422,0.0243927734334488,0.0179714251977801,0.0145944031172512,3476,3586,42345,761,618,0.0386944888096078,0.134834373898073,0.286977924775017,0.396026267048325,0.218929804372842,0.172336865588399
"3","Amber Valley",0.0652200573956127,0.0831622176591376,0.082363677846224,122309,0.0291393110891267,0.0251349912540878,0.0182713514335691,4374,4332,52596,1322,961,0.0478051492531212,0.136400428423092,0.350476532997662,0.446784505453178,0.302240512117055,0.221837488457987
"4","Arun",0.0593841544161907,0.0707432614757293,0.0761550685095793,149518,0.0127944461536404,0.0254549815608791,0.0140916859053159,4719,5080,66706,1698,940,0.0304378068192458,0.124921414144116,0.243655637648571,0.215452190562,0.359821996185633,0.18503937007874
"5","Ashfield",0.0722528599044328,0.0819736506253559,0.0825626828454183,119497,0.0211637112228759,0.0279201272309595,0.0140386012448214,4175,4205,50931,1422,715,0.0390470053641514,0.142380143434563,0.27424473962619,0.292911744266852,0.34059880239521,0.170035671819263
"6","Ashford",0.0689748719861643,0.0826584635988867,0.0882876096009375,117956,0.0302994336871376,0.0246929081130851,0.016615397493042,3950,4219,47787,1180,794,0.0470344874359931,0.138229509308556,0.340263722784422,0.439282202556539,0.29873417721519,0.188196255036739
"7","Aylesbury Vale",0.0679981853368325,0.0873699680142927,0.0867504250352995,174137,0.0155165186031688,0.0256317897588105,0.0138892891104515,6064,6021,69406,1779,964,0.0312684840097165,0.137397566284018,0.227576694808994,0.228190186639642,0.293370712401055,0.160106294635443
"8","Barking and Dagenham",0.0815766684058501,0.10568160617672,0.0987213157101649,185911,0.0293957861557412,0.0473586774013002,0.0344570255880369,7364,6879,69681,3300,2401,0.0600609969286379,0.158188595618334,0.37967968989085,0.360345509692734,0.448126018468224,0.349033289722343
"9","Barnet",0.0716189749316752,0.0902984196121134,0.0805423938314841,356386,0.0258596016678545,0.0411651314046911,0.0264060154801495,12273,10947,135916,5595,3589,0.0516294130521401,0.136773049446387,0.377482356802889,0.361071932299013,0.455878758249817,0.327852379647392
"10","Barnsley",0.0693059886429001,0.0839041435860782,0.081223817181885,231221,0.0210404764273141,0.0320348640975242,0.0230805884805527,8452,8182,100734,3227,2325,0.0450521362678995,0.141245821097565,0.318962613674638,0.303588143525741,0.38180312352106,0.284160351992178
