"","PFA17CD","violence_syn","property_syn","damage_syn","pop","violence_syn_pol","property_syn_pol","damage_syn_pol","HHproperty_syn","HHdamage_syn","HHpop","HHproperty_syn_pol","HHdamage_syn_pol","all_syn_pol","all_syn","all_ME","violence_ME","property_ME","damage_ME"
"1","E23000001",0.0769400504447034,0.0967178124390672,0.0817757009345794,8166566,0.0275440129915071,0.0439298936656827,0.0284742601297203,315473,266735,3261788,143290,92877,0.0564627776228099,0.148231704733667,0.380908913678478,0.35799317562578,0.454206857639164,0.348199523872008
"2","E23000002",0.0637100936666013,0.0803136343574639,0.0802776051377667,499858,0.02565128496493,0.0174111204186595,0.0137991911440178,17833,17825,222042,3866,3064,0.0395152223231398,0.135046353164299,0.292604882673619,0.402625133454751,0.216789098861661,0.171893408134642
"3","E23000003",0.0709730281410069,0.0827725361194397,0.0831366025963603,1460893,0.0312110469418363,0.0241481248958365,0.0126695133968373,51155,51380,618019,14924,7830,0.0467864518482873,0.141159551041726,0.331443756394901,0.439759268546738,0.291740787801779,0.152393927598287
"4","E23000004",0.0737140246555685,0.0838267559339431,0.0793656066315997,1381189,0.0170230142290447,0.0254132708395963,0.0275059916590127,50471,47785,602087,15301,16561,0.0400915443143552,0.144852731957755,0.276774512793086,0.23093318142084,0.303164193299122,0.346573192424401
"5","E23000005",0.0765997596297224,0.0895825244267623,0.0851705485317348,2682528,0.0326606096935428,0.0319103669466148,0.013467297126232,101055,96078,1128066,35997,15192,0.0517429827386704,0.150087529375276,0.344752045383419,0.426380054603589,0.356211963782099,0.158121526259914
"6","E23000006",0.0678470267361675,0.0816415719211991,0.0829503681700752,1027709,0.0213795928614034,0.0291736374292966,0.0166069172726962,35868,36443,439335,12817,7296,0.0409503079179028,0.138208383890771,0.29629394950647,0.315114661465429,0.357338017174083,0.200203056828472
"7","E23000007",0.0713261681539188,0.0850237777681479,0.0808716963507586,1420853,0.00596824583542421,0.0121143836638788,0.0208470759684846,52975,50388,623061,7548,12989,0.0204222393168048,0.144073313706626,0.141748938727059,0.0836754025892011,0.142482302973101,0.257779630070652
"8","E23000008",0.0694951244816631,0.0847921973727507,0.0866371135011628,618806,0.015723829439275,0.0439563283580986,0.0145670732383639,22934,23433,270473,11889,3940,0.0413037365507122,0.144424908614331,0.285987624620962,0.226258022509534,0.518400627888724,0.168138949344941
"9","E23000009",0.0644880196176172,0.0784868850434813,0.0805301252991363,796427,0.0120073779517771,0.0307838398805219,0.0156638619886755,26697,27392,340146,10471,5328,0.0318447265097743,0.13240259308135,0.240514371876452,0.186195482866044,0.392216353897442,0.194509345794393
"10","E23000010",0.0753192414573205,0.0882452420288535,0.0845323117083599,2226058,0.0327516174331486,0.0365081326724859,0.0268490935029682,81402,77977,922452,33677,24767,0.0590060995715296,0.146916207933486,0.401630973202383,0.434837324426684,0.413712193803592,0.317619297998128
"11","E23000011",0.0738053931189393,0.0854464295188543,0.0810534060080433,1343601,0.0224173694422675,0.0321040884829921,0.0232473003420333,48315,45831,565442,18153,13145,0.0457114872644483,0.143875302266075,0.317716012022078,0.303736197247013,0.375721825520025,0.28681460147062
"12","E23000012",0.0697032736989278,0.0832030786401663,0.081410235367495,917647,0.0283344248932324,0.0290011337839851,0.0135170282233933,32950,32240,396019,11485,5353,0.0466835286335595,0.140743662868184,0.331691869333271,0.406500633178556,0.34855842185129,0.166035980148883
"13","E23000013",0.0729828238760864,0.084703533402989,0.080025042195253,557227,0.0270428389148408,0.0229271449782361,0.0224364533144953,20024,18918,236401,5420,5304,0.046288137509489,0.142868166833265,0.323991960808944,0.370537031572735,0.270675189772273,0.280367903583888
"14","E23000014",0.0756510235852159,0.0900770003717513,0.0836578489217372,2736460,0.0205330975055363,0.0346621295829392,0.0208567211533861,97891,90915,1086748,37669,22666,0.0425816565928243,0.144647464242123,0.294382323367574,0.271418634308459,0.384805549029022,0.249309794863334
"15","E23000015",0.068389253000236,0.0822836500028088,0.0808555045177794,1097497,0.0166305693774106,0.0106538356833276,0.00914358803728302,38084,37423,462838,4931,4232,0.0249795671423248,0.13718852990031,0.182082038203023,0.243175186857988,0.129476945698981,0.113085535633167
"16","E23000016",0.0646252994070758,0.0799291488923195,0.0817334800648626,1222416,0.0183030981269879,0.0295050921803242,0.016866996682986,41109,42037,514318,15175,8675,0.037813641182707,0.1326430609547,0.285078170773073,0.283218774921202,0.369140577489114,0.206365820586626
"17","E23000017",0.0676677531834698,0.0817428194194931,0.0831020973572001,545474,0.0252972643975698,0.0333023094738209,0.0137616068916257,18883,19197,231005,7693,3179,0.0452285535149246,0.137478596596721,0.328986145004067,0.373845195199263,0.407403484615792,0.165598791477835
"18","E23000018",0.0676742226821859,0.0816057648974036,0.0821208163565628,1018438,0.0297210041259262,0.0253754817110745,0.0180589917867687,35491,35715,434908,11036,7854,0.0482690158851103,0.137591095383322,0.350814969171044,0.439177621078901,0.310952072356372,0.219907601847963
"19","E23000019",0.073383711320938,0.0854042055973277,0.0799224210201679,1091482,0.0206013475256578,0.0293636004291603,0.0135024780967522,39323,36799,460434,13520,6217,0.0386841010662567,0.143125585213499,0.270280823715425,0.28073460928624,0.343819138926328,0.168944808282834
"20","E23000020",0.0625079695594357,0.076443703151112,0.0780757791452613,713653,0.0133636375101065,0.0191288427897098,0.0157506735163908,23466,23967,306971,5872,4835,0.0283667272469954,0.128973044322661,0.219943069468286,0.213790939048174,0.25023438165857,0.201735719948262
"21","E23000021",0.0711714783476811,0.0863322656764334,0.0832747724756572,1017697,0.0252953482225063,0.0389855040302199,0.0172699051437392,35013,33773,405561,15811,7004,0.0477136122048115,0.138761340556177,0.343853785309134,0.355414118264279,0.451575129237712,0.207384597163415
"22","E23000022",0.0726090827109395,0.0867271400271088,0.0871893789316373,691952,0.0281190024741601,0.0189691724880965,0.015465888159038,24954,25087,287730,5458,4450,0.0424379147686545,0.144927682845053,0.292821315676635,0.387265634329844,0.218722449306724,0.177382708175549
"23","E23000023",0.0707406804573823,0.0851923360716218,0.0852722711397511,804841,0.0190832723482029,0.0258774410940036,0.015605784839392,27710,27736,325264,8417,5076,0.0358480743401492,0.139631306059209,0.256733789519581,0.269763765697725,0.3037531577048,0.183011248918373
